Could not find conda environment: ML
You can list all discoverable environments with `conda info --envs`.

Loaded Vocabulary Set
Loaded Reverse Vocabulary Set
loading annotations into memory...
Done (t=0.73s)
creating index...
index created!
/home/md4289/anaconda3/lib/python3.6/site-packages/sklearn/utils/fixes.py:313: FutureWarning: numpy not_equal will not check object identity in the future. The comparison did not return the same result as suggested by the identity (`is`)) and will change.
  _nan_object_mask = _nan_object_array != _nan_object_array
Epoch: 1 Batch: 3600 Loss: 1.9217439889907837
Epoch: 1 Batch: 3700 Loss: 1.955628514289856
Epoch: 1 Batch: 3800 Loss: 2.1825315952301025
Epoch: 1 Batch: 3900 Loss: 2.0879697799682617
Epoch: 1 Batch: 4000 Loss: 2.043178081512451
Epoch: 1 Batch: 4100 Loss: 1.9002939462661743
Epoch: 1 Batch: 4200 Loss: 2.161623954772949
Epoch: 1 Batch: 4300 Loss: 2.0095157623291016
Epoch: 1 Batch: 4400 Loss: 2.1200473308563232
Epoch: 1 Batch: 4500 Loss: 2.07181453704834
Epoch: 1 Batch: 4600 Loss: 1.9777406454086304
Epoch: 1 Batch: 4700 Loss: 1.9001991748809814
Epoch: 1 Batch: 4800 Loss: 1.9647064208984375
Epoch: 1 Batch: 4900 Loss: 2.1504018306732178
Epoch: 1 Batch: 5000 Loss: 1.8908368349075317
Epoch: 1 Batch: 5100 Loss: 1.9781203269958496
Epoch: 1 Batch: 5200 Loss: 1.9293029308319092
Epoch: 1 Batch: 5300 Loss: 2.110511064529419
Epoch: 1 Batch: 5400 Loss: 1.9973602294921875
Epoch: 1 Batch: 5500 Loss: 1.9447311162948608
Epoch: 1 Batch: 5600 Loss: 2.0484142303466797
Epoch: 1 Batch: 5700 Loss: 2.083217144012451
Epoch: 1 Batch: 5800 Loss: 2.2028987407684326
Epoch: 1 Batch: 5900 Loss: 2.0188210010528564
Epoch: 1 Batch: 6000 Loss: 2.140252113342285
Epoch: 1 Batch: 6100 Loss: 1.8496166467666626
Epoch: 1 Batch: 6200 Loss: 1.9534693956375122
Epoch: 1 Batch: 6300 Loss: 1.9536606073379517
Epoch: 1 Batch: 6400 Loss: 2.0600204467773438
Epoch: 2 Batch: 0 Loss: 2.1703248023986816
Epoch: 2 Batch: 100 Loss: 1.9119415283203125
Epoch: 2 Batch: 200 Loss: 1.937008261680603
Epoch: 2 Batch: 300 Loss: 1.9195315837860107
Epoch: 2 Batch: 400 Loss: 1.8447455167770386
Epoch: 2 Batch: 500 Loss: 2.1996238231658936
Epoch: 2 Batch: 600 Loss: 1.9616367816925049
Epoch: 2 Batch: 700 Loss: 1.9521249532699585
Epoch: 2 Batch: 800 Loss: 2.2442615032196045
Epoch: 2 Batch: 900 Loss: 1.856318473815918
Epoch: 2 Batch: 1000 Loss: 1.8141127824783325
Epoch: 2 Batch: 1100 Loss: 1.9700614213943481
Epoch: 2 Batch: 1200 Loss: 2.0093624591827393
Epoch: 2 Batch: 1300 Loss: 1.9770342111587524
Epoch: 2 Batch: 1400 Loss: 2.0424885749816895
Epoch: 2 Batch: 1500 Loss: 1.9367191791534424
Epoch: 2 Batch: 1600 Loss: 2.0036323070526123
Epoch: 2 Batch: 1700 Loss: 2.0489232540130615
Epoch: 2 Batch: 1800 Loss: 1.989566445350647
Epoch: 2 Batch: 1900 Loss: 1.9447755813598633
Epoch: 2 Batch: 2000 Loss: 2.0001602172851562
Epoch: 2 Batch: 2100 Loss: 2.062441110610962
Epoch: 2 Batch: 2200 Loss: 2.109835386276245
Epoch: 2 Batch: 2300 Loss: 1.9092307090759277
Epoch: 2 Batch: 2400 Loss: 1.809720754623413
Epoch: 2 Batch: 2500 Loss: 1.947779893875122
Epoch: 2 Batch: 2600 Loss: 1.9919453859329224
Epoch: 2 Batch: 2700 Loss: 2.0962297916412354
Epoch: 2 Batch: 2800 Loss: 1.9912689924240112
Epoch: 2 Batch: 2900 Loss: 1.958025574684143
Epoch: 2 Batch: 3000 Loss: 2.27249813079834
Epoch: 2 Batch: 3100 Loss: 2.116764783859253
Epoch: 2 Batch: 3200 Loss: 1.9429842233657837
Epoch: 2 Batch: 3300 Loss: 1.9055849313735962
Epoch: 2 Batch: 3400 Loss: 1.8910356760025024
Epoch: 2 Batch: 3500 Loss: 1.9737480878829956
Epoch: 2 Batch: 3600 Loss: 1.881672739982605
Epoch: 2 Batch: 3700 Loss: 1.9249701499938965
Epoch: 2 Batch: 3800 Loss: 1.866432785987854
Epoch: 2 Batch: 3900 Loss: 1.912742257118225
Epoch: 2 Batch: 4000 Loss: 1.894839882850647
Epoch: 2 Batch: 4100 Loss: 2.0550320148468018
Epoch: 2 Batch: 4200 Loss: 1.9634500741958618
Epoch: 2 Batch: 4300 Loss: 1.9390549659729004
Epoch: 2 Batch: 4400 Loss: 2.109365940093994
Epoch: 2 Batch: 4500 Loss: 2.04486083984375
Epoch: 2 Batch: 4600 Loss: 2.0419394969940186
Epoch: 2 Batch: 4700 Loss: 2.080498456954956
Epoch: 2 Batch: 4800 Loss: 1.9070074558258057
Epoch: 2 Batch: 4900 Loss: 1.8824872970581055
Epoch: 2 Batch: 5000 Loss: 1.9034253358840942
Epoch: 2 Batch: 5100 Loss: 1.9060983657836914
Epoch: 2 Batch: 5200 Loss: 2.0089566707611084
Epoch: 2 Batch: 5300 Loss: 1.9964653253555298
Epoch: 2 Batch: 5400 Loss: 2.0656251907348633
Epoch: 2 Batch: 5500 Loss: 1.99811851978302
Epoch: 2 Batch: 5600 Loss: 1.9427448511123657
Epoch: 2 Batch: 5700 Loss: 2.059908628463745
Epoch: 2 Batch: 5800 Loss: 1.963246464729309
Epoch: 2 Batch: 5900 Loss: 1.8574926853179932
Epoch: 2 Batch: 6000 Loss: 2.1312708854675293
Epoch: 2 Batch: 6100 Loss: 1.9814029932022095
Epoch: 2 Batch: 6200 Loss: 2.012781858444214
Epoch: 2 Batch: 6300 Loss: 2.16721773147583
Epoch: 2 Batch: 6400 Loss: 2.0793328285217285
Epoch: 3 Batch: 0 Loss: 1.976719617843628
Epoch: 3 Batch: 100 Loss: 1.7579379081726074
Epoch: 3 Batch: 200 Loss: 1.8826179504394531
Epoch: 3 Batch: 300 Loss: 1.9135395288467407
Epoch: 3 Batch: 400 Loss: 1.8964073657989502
Epoch: 3 Batch: 500 Loss: 1.8361760377883911
Epoch: 3 Batch: 600 Loss: 2.010586738586426
Epoch: 3 Batch: 700 Loss: 1.884171724319458
Epoch: 3 Batch: 800 Loss: 2.022627830505371
Epoch: 3 Batch: 900 Loss: 2.1092090606689453
Epoch: 3 Batch: 1000 Loss: 1.942569375038147
Epoch: 3 Batch: 1100 Loss: 1.8543801307678223
