Could not find conda environment: ML
You can list all discoverable environments with `conda info --envs`.

Loaded Vocabulary Set
Loaded Reverse Vocabulary Set
loading annotations into memory...
Done (t=0.74s)
creating index...
index created!
/home/md4289/anaconda3/lib/python3.6/site-packages/sklearn/utils/fixes.py:313: FutureWarning: numpy not_equal will not check object identity in the future. The comparison did not return the same result as suggested by the identity (`is`)) and will change.
  _nan_object_mask = _nan_object_array != _nan_object_array
Epoch: 1 Batch: 3700 Loss: 2.121610403060913
Epoch: 1 Batch: 3800 Loss: 2.1520206928253174
Epoch: 1 Batch: 3900 Loss: 2.298178195953369
Epoch: 1 Batch: 4000 Loss: 2.177556037902832
Epoch: 1 Batch: 4100 Loss: 2.0588552951812744
Epoch: 1 Batch: 4200 Loss: 2.2160205841064453
Epoch: 1 Batch: 4300 Loss: 2.108487367630005
Epoch: 1 Batch: 4400 Loss: 2.1301684379577637
Epoch: 1 Batch: 4500 Loss: 2.3032524585723877
Epoch: 1 Batch: 4600 Loss: 2.120877742767334
Epoch: 1 Batch: 4700 Loss: 2.265509605407715
Epoch: 1 Batch: 4800 Loss: 2.0282106399536133
Epoch: 1 Batch: 4900 Loss: 2.0881545543670654
Epoch: 1 Batch: 5000 Loss: 1.9542826414108276
Epoch: 1 Batch: 5100 Loss: 2.3820507526397705
Epoch: 1 Batch: 5200 Loss: 2.1691508293151855
Epoch: 1 Batch: 5300 Loss: 2.048856258392334
Epoch: 1 Batch: 5400 Loss: 2.174586772918701
Epoch: 1 Batch: 5500 Loss: 1.9890705347061157
Epoch: 1 Batch: 5600 Loss: 2.1152353286743164
Epoch: 1 Batch: 5700 Loss: 2.0769834518432617
Epoch: 1 Batch: 5800 Loss: 1.8999791145324707
Epoch: 1 Batch: 5900 Loss: 1.9948363304138184
Epoch: 1 Batch: 6000 Loss: 2.013669729232788
Epoch: 1 Batch: 6100 Loss: 2.1796600818634033
Epoch: 1 Batch: 6200 Loss: 2.1329362392425537
Epoch: 1 Batch: 6300 Loss: 2.3341803550720215
Epoch: 1 Batch: 6400 Loss: 2.1026058197021484
Epoch: 2 Batch: 0 Loss: 1.9857499599456787
Epoch: 2 Batch: 100 Loss: 1.9392268657684326
Epoch: 2 Batch: 200 Loss: 1.763688325881958
Epoch: 2 Batch: 300 Loss: 1.8350168466567993
Epoch: 2 Batch: 400 Loss: 2.0327303409576416
Epoch: 2 Batch: 500 Loss: 1.8715946674346924
Epoch: 2 Batch: 600 Loss: 2.002385377883911
Epoch: 2 Batch: 700 Loss: 2.0172672271728516
Epoch: 2 Batch: 800 Loss: 2.1580400466918945
Epoch: 2 Batch: 900 Loss: 2.1260786056518555
Epoch: 2 Batch: 1000 Loss: 1.8108536005020142
Epoch: 2 Batch: 1100 Loss: 2.168724298477173
Epoch: 2 Batch: 1200 Loss: 1.925028681755066
Epoch: 2 Batch: 1300 Loss: 2.016960382461548
Epoch: 2 Batch: 1400 Loss: 1.9245692491531372
Epoch: 2 Batch: 1500 Loss: 1.9873806238174438
Epoch: 2 Batch: 1600 Loss: 1.9269877672195435
Epoch: 2 Batch: 1700 Loss: 1.8578095436096191
Epoch: 2 Batch: 1800 Loss: 1.8606305122375488
Epoch: 2 Batch: 1900 Loss: 1.9100382328033447
Epoch: 2 Batch: 2000 Loss: 1.9955626726150513
Epoch: 2 Batch: 2100 Loss: 1.785810112953186
Epoch: 2 Batch: 2200 Loss: 1.893310308456421
Epoch: 2 Batch: 2300 Loss: 1.920481562614441
Epoch: 2 Batch: 2400 Loss: 2.045313835144043
Epoch: 2 Batch: 2500 Loss: 2.142653703689575
Epoch: 2 Batch: 2600 Loss: 2.2217891216278076
Epoch: 2 Batch: 2700 Loss: 2.031625986099243
Epoch: 2 Batch: 2800 Loss: 1.9342069625854492
Epoch: 2 Batch: 2900 Loss: 1.982098937034607
Epoch: 2 Batch: 3000 Loss: 2.0248587131500244
Epoch: 2 Batch: 3100 Loss: 2.018587112426758
Epoch: 2 Batch: 3200 Loss: 1.9640742540359497
Epoch: 2 Batch: 3300 Loss: 2.056858777999878
Epoch: 2 Batch: 3400 Loss: 1.953685998916626
Epoch: 2 Batch: 3500 Loss: 2.123554229736328
Epoch: 2 Batch: 3600 Loss: 2.002394199371338
Epoch: 2 Batch: 3700 Loss: 1.901619553565979
Epoch: 2 Batch: 3800 Loss: 1.995608925819397
Epoch: 2 Batch: 3900 Loss: 2.0779175758361816
Epoch: 2 Batch: 4000 Loss: 1.9594972133636475
Epoch: 2 Batch: 4100 Loss: 1.9864648580551147
Epoch: 2 Batch: 4200 Loss: 2.04557466506958
Epoch: 2 Batch: 4300 Loss: 2.1130096912384033
Epoch: 2 Batch: 4400 Loss: 2.032491683959961
Epoch: 2 Batch: 4500 Loss: 2.036734104156494
Epoch: 2 Batch: 4600 Loss: 1.783111810684204
Epoch: 2 Batch: 4700 Loss: 2.0994348526000977
Epoch: 2 Batch: 4800 Loss: 2.0999021530151367
Epoch: 2 Batch: 4900 Loss: 2.134129762649536
Epoch: 2 Batch: 5000 Loss: 1.8932013511657715
Epoch: 2 Batch: 5100 Loss: 1.9325922727584839
Epoch: 2 Batch: 5200 Loss: 2.074341058731079
Epoch: 2 Batch: 5300 Loss: 1.7572896480560303
Epoch: 2 Batch: 5400 Loss: 1.8859249353408813
Epoch: 2 Batch: 5500 Loss: 2.0390539169311523
Epoch: 2 Batch: 5600 Loss: 2.002480983734131
Epoch: 2 Batch: 5700 Loss: 1.8440948724746704
Epoch: 2 Batch: 5800 Loss: 1.9424641132354736
Epoch: 2 Batch: 5900 Loss: 2.0171759128570557
Epoch: 2 Batch: 6000 Loss: 1.9301635026931763
Epoch: 2 Batch: 6100 Loss: 1.9741002321243286
Epoch: 2 Batch: 6200 Loss: 1.7801002264022827
Epoch: 2 Batch: 6300 Loss: 2.0322518348693848
Epoch: 2 Batch: 6400 Loss: 1.961707592010498
Epoch: 3 Batch: 0 Loss: 1.767147421836853
Epoch: 3 Batch: 100 Loss: 1.833187460899353
Epoch: 3 Batch: 200 Loss: 1.8351260423660278
Epoch: 3 Batch: 300 Loss: 1.8188765048980713
Epoch: 3 Batch: 400 Loss: 1.9489721059799194
Epoch: 3 Batch: 500 Loss: 1.887846827507019
Epoch: 3 Batch: 600 Loss: 1.7978366613388062
Epoch: 3 Batch: 700 Loss: 1.9902573823928833
Epoch: 3 Batch: 800 Loss: 1.9160112142562866
Epoch: 3 Batch: 900 Loss: 1.8113899230957031
Epoch: 3 Batch: 1000 Loss: 1.703310489654541
Epoch: 3 Batch: 1100 Loss: 1.9091835021972656
Epoch: 3 Batch: 1200 Loss: 1.8953794240951538
Epoch: 3 Batch: 1300 Loss: 1.8747308254241943
Epoch: 3 Batch: 1400 Loss: 1.768190622329712
Epoch: 3 Batch: 1500 Loss: 1.8241978883743286
Epoch: 3 Batch: 1600 Loss: 2.0657315254211426
